refdes,method,stream
CE01ISSM-MFD35-01-VEL3DD000,recovered_host,vel3d_cd_dcl_velocity_data_recovered
CE01ISSM-MFD35-01-VEL3DD000,telemetered,vel3d_cd_dcl_velocity_data
CE01ISSM-MFD35-02-PRESFA000,recovered_host,presf_abc_dcl_tide_measurement_recovered
CE01ISSM-MFD35-02-PRESFA000,recovered_host,presf_abc_dcl_wave_burst_recovered
CE01ISSM-MFD35-02-PRESFA000,recovered_inst,presf_abc_tide_measurement_recovered
CE01ISSM-MFD35-02-PRESFA000,recovered_inst,presf_abc_wave_burst_recovered
CE01ISSM-MFD35-02-PRESFA000,telemetered,presf_abc_dcl_tide_measurement
CE01ISSM-MFD35-02-PRESFA000,telemetered,presf_abc_dcl_wave_burst
CE01ISSM-MFD35-04-ADCPTM000,recovered_host,adcp_velocity_earth
CE01ISSM-MFD35-04-ADCPTM000,recovered_inst,adcps_jln_instrument
CE01ISSM-MFD35-04-ADCPTM000,recovered_inst,adcpt_m_instrument_dspec_recovered
CE01ISSM-MFD35-04-ADCPTM000,recovered_inst,adcpt_m_instrument_fcoeff_recovered
CE01ISSM-MFD35-04-ADCPTM000,recovered_inst,adcpt_m_instrument_log9_recovered
CE01ISSM-MFD35-04-ADCPTM000,recovered_inst,adcpt_m_wvs_recovered
CE01ISSM-MFD35-04-ADCPTM000,telemetered,adcp_velocity_earth
CE01ISSM-MFD35-05-PCO2WB000,recovered_host,pco2w_abc_dcl_instrument_blank_recovered
CE01ISSM-MFD35-05-PCO2WB000,recovered_host,pco2w_abc_dcl_instrument_recovered
CE01ISSM-MFD35-05-PCO2WB000,recovered_inst,pco2w_abc_instrument
CE01ISSM-MFD35-05-PCO2WB000,recovered_inst,pco2w_abc_instrument_blank
CE01ISSM-MFD35-05-PCO2WB000,telemetered,pco2w_abc_dcl_instrument
CE01ISSM-MFD35-05-PCO2WB000,telemetered,pco2w_abc_dcl_instrument_blank
CE01ISSM-MFD35-06-PHSEND000,recovered_host,phsen_abcdef_dcl_instrument_recovered
CE01ISSM-MFD35-06-PHSEND000,recovered_inst,phsen_abcdef_instrument
CE01ISSM-MFD35-06-PHSEND000,telemetered,phsen_abcdef_dcl_instrument
CE01ISSM-MFD37-01-OPTAAD000,recovered_host,optaa_dj_dcl_instrument_recovered
CE01ISSM-MFD37-01-OPTAAD000,telemetered,optaa_dj_dcl_instrument
CE01ISSM-MFD37-03-CTDBPC000,recovered_host,ctdbp_cdef_dcl_instrument_recovered
CE01ISSM-MFD37-03-CTDBPC000,recovered_inst,ctdbp_cdef_instrument_recovered
CE01ISSM-MFD37-03-CTDBPC000,telemetered,ctdbp_cdef_dcl_instrument
CE01ISSM-MFD37-03-DOSTAD000,recovered_host,dosta_abcdjm_ctdbp_dcl_instrument_recovered
CE01ISSM-MFD37-03-DOSTAD000,recovered_inst,dosta_abcdjm_ctdbp_instrument_recovered
CE01ISSM-MFD37-03-DOSTAD000,telemetered,dosta_abcdjm_ctdbp_dcl_instrument
CE01ISSM-RID16-01-OPTAAD000,recovered_host,optaa_dj_dcl_instrument_recovered
CE01ISSM-RID16-01-OPTAAD000,telemetered,optaa_dj_dcl_instrument
CE01ISSM-RID16-02-FLORTD000,recovered_host,flort_dj_dcl_instrument_recovered
CE01ISSM-RID16-02-FLORTD000,telemetered,flort_dj_dcl_instrument
CE01ISSM-RID16-03-CTDBPC000,recovered_host,ctdbp_cdef_dcl_instrument_recovered
